ALDER;CIVILSTAND;TID;INDHOLD
59 59 år;G Gift/separeret;2020K1 2020K1;44628
59 59 år;U Ugift;2020K1 2020K1;12441
60 60 år;G Gift/separeret;2020K1 2020K1;43270
60 60 år;U Ugift;2020K1 2020K1;11437
61 61 år;G Gift/separeret;2020K1 2020K1;43537
61 61 år;U Ugift;2020K1 2020K1;11026
62 62 år;G Gift/separeret;2020K1 2020K1;43164
62 62 år;U Ugift;2020K1 2020K1;10442
63 63 år;G Gift/separeret;2020K1 2020K1;43623
63 63 år;U Ugift;2020K1 2020K1;9790
64 64 år;G Gift/separeret;2020K1 2020K1;42642
64 64 år;U Ugift;2020K1 2020K1;9143
65 65 år;G Gift/separeret;2020K1 2020K1;41649
65 65 år;U Ugift;2020K1 2020K1;8271
66 66 år;G Gift/separeret;2020K1 2020K1;42260
66 66 år;U Ugift;2020K1 2020K1;7794
67 67 år;G Gift/separeret;2020K1 2020K1;41108
67 67 år;U Ugift;2020K1 2020K1;7008
68 68 år;G Gift/separeret;2020K1 2020K1;40152
68 68 år;U Ugift;2020K1 2020K1;6264
69 69 år;G Gift/separeret;2020K1 2020K1;40767
69 69 år;U Ugift;2020K1 2020K1;5745
70 70 år;G Gift/separeret;2020K1 2020K1;40217
70 70 år;U Ugift;2020K1 2020K1;5024
71 71 år;G Gift/separeret;2020K1 2020K1;41737
71 71 år;U Ugift;2020K1 2020K1;4703
72 72 år;G Gift/separeret;2020K1 2020K1;43342
72 72 år;U Ugift;2020K1 2020K1;4456
73 73 år;G Gift/separeret;2020K1 2020K1;43481
73 73 år;U Ugift;2020K1 2020K1;4106
74 74 år;G Gift/separeret;2020K1 2020K1;40477
74 74 år;U Ugift;2020K1 2020K1;3491
75 75 år;G Gift/separeret;2020K1 2020K1;36323
75 75 år;U Ugift;2020K1 2020K1;3078
76 76 år;G Gift/separeret;2020K1 2020K1;31631
76 76 år;U Ugift;2020K1 2020K1;2606
77 77 år;G Gift/separeret;2020K1 2020K1;28282
77 77 år;U Ugift;2020K1 2020K1;2139
78 78 år;G Gift/separeret;2020K1 2020K1;23509
78 78 år;U Ugift;2020K1 2020K1;1774
79 79 år;G Gift/separeret;2020K1 2020K1;21114
79 79 år;U Ugift;2020K1 2020K1;1614
80 80 år;G Gift/separeret;2020K1 2020K1;18436
80 80 år;U Ugift;2020K1 2020K1;1461
81 81 år;G Gift/separeret;2020K1 2020K1;16566
81 81 år;U Ugift;2020K1 2020K1;1350
82 82 år;G Gift/separeret;2020K1 2020K1;14135
82 82 år;U Ugift;2020K1 2020K1;1175
83 83 år;G Gift/separeret;2020K1 2020K1;11892
83 83 år;U Ugift;2020K1 2020K1;1022
84 84 år;G Gift/separeret;2020K1 2020K1;9559
